items_title,items_dcCreator,items_dataProvider,items_type,items_country,items_id,items_edmTimespanLabelLangAware_def,items_edmPreview
Bo Bojesen i Paris,"Bojesen, Bo (1923-2006) bladtegner",The Royal Library: The National Library of Denmark and Copenhagen University Library,IMAGE,denmark,/92023/images_billed_2010_okt_billeder_object329846,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fkb-images.kb.dk%2FDAMJP2%2Fonline_master_arkiv_6%2Fnon-archival%2FImages%2FBLADTE%2FBo_Bojesen%2Fdb_bo_bojesen_00434%2Ffull%2Ffull%2F0%2Fnative.jpg&size=LARGE&type=IMAGE
Nyophængning i Louvre,"Bojesen, Bo (1923-2006) bladtegner",The Royal Library: The National Library of Denmark and Copenhagen University Library,IMAGE,denmark,/92023/images_billed_2010_okt_billeder_object329669,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fkb-images.kb.dk%2FDAMJP2%2Fonline_master_arkiv_6%2Fnon-archival%2FImages%2FBLADTE%2FBo_Bojesen%2Fdb_bo_bojesen_00253%2Ffull%2Ffull%2F0%2Fnative.jpg&size=LARGE&type=IMAGE
Le Tragique amour de Mona Lisa,Candido Aragonês de Faria,EYE Filmmuseum (The Netherlands),IMAGE,netherlands,/08614/poster9867,20..,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fefgposters.eyefilm.nl%2FNL-EYE-EFG1914_A04997.jpg&size=LARGE&type=IMAGE
Mona Lisa művészeti  fényképészet és festészeti vállalat,,Magyar Kereskedelmi és Vendéglátóipari Múzeum - Budapest,IMAGE,hungary,/2048128/94590,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmandadb.hu%2Fmandadb%2Fwebimage%2F9%2F0%2F0%2F7%2F0%2Fwimage%2FKF_5401_3.jpg&size=LARGE&type=IMAGE
Kiállítás,"Bauer Sándor, fényképész",Fortepan,IMAGE,hungary,/2048128/576298,20..,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmandadb.hu%2Fcommon%2Ffile-servlet%2Fdocument%2F898530%2Fdefault%2Fdoc_url%2F126152.jpg&size=LARGE&type=IMAGE
"Magyar Szakácsok Országos Egyesületének tablóképe, Budapest, 1939.","Diskai Mona Lisa, fotó stúdió, Budapest,  VII. kerület, Rákóczi út 18.",Magyar Kereskedelmi és Vendéglátóipari Múzeum - Budapest,IMAGE,hungary,/2048128/326652,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmandadb.hu%2Fcommon%2Ffile-servlet%2Fdocument%2F535353%2Fdefault%2Fdoc_url%2FVF_32_533.jpg&size=LARGE&type=IMAGE
Przygody Otka,,Filmoteka Narodowa,IMAGE,poland,/08609/1_F_3481_6_931x,20..,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffototeka.fn.org.pl%2Fpublic%2Fcache%2F1-F-3481-6-931x.jpg&size=LARGE&type=IMAGE
Der Raub der Mona Lisa,,Deutsches Filminstitut - DIF,IMAGE,germany,/08604/0DB662C1207D4AD998E51B17076D2A93_f015490_pic_01,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.filmportal.de%2Fsites%2Fdefault%2Ffiles%2F0DB662C1207D4AD998E51B17076D2A93_f015490_pic_01.jpg&size=LARGE&type=IMAGE
LES TROIS CLOCHES (slow rock) / VILLARD. ARGENTINA SERENADE (bounce bolero) / MERY & STANI. MONA LISA (slow rock) / LIVINGSTONE & EVANS. NAMENLOS (du film Das Totenschiff) (valse) / KOVAC ; ZACHARIAS et ses violons enchantés,,National Library of France,SOUND,france,/9200365/BibliographicResource_3000134385465,1960,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k88212945.thumbnail.jpg&size=LARGE&type=SOUND
RAMONA / WAYNE (Mabel) et GILBERT (W). ALWAYS / BERLIN (Irving). ALL OF ME (C'est un rêve) / SIMON et MARKS. MONA LISA / LIVINGSTON et EVANS ; THE BLUE DIAMONDS orch Jack BULTERMAN,,National Library of France,SOUND,france,/9200365/BibliographicResource_3000134384347,1960,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8827259k.thumbnail.jpg&size=LARGE&type=SOUND
"MONA LISA / LIVINGSTON et EVANS. ONLY SIXTEEN / CAMPBELL. LEROY / SCOTT. SECRETLY / HOFFMAN, MANNING et MARKWELL ; THE FOUR COMETS",,National Library of France,SOUND,france,/9200365/BibliographicResource_3000134100881,1960,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8821642t.thumbnail.jpg&size=LARGE&type=SOUND
"THE Nat King Cole Story / Nat King Cole, chant et Orchestre","Winkler, Gerhard. Auteur ou responsable intellectuel Wells, Robert. Auteur ou responsable intellectuel Wayne, Dorothy. Auteur ou responsable intellectuel Watson, Deek. Auteur ou responsable intellectuel Turner, John (19..-.... ; auteur de chansons). Auteur ou responsable intellectuel Turk, Roy. Auteur ou responsable intellectuel Troup, Bobby (1918-1999). Auteur ou responsable intellectuel Tormé, Mel (1925-1999). Auteur ou responsable intellectuel Strayhorn, Billy (1915-1967). Auteur ou responsable intellectuel Stein, Willie. Auteur ou responsable intellectuel Sosenko, Anna. Auteur ou responsable intellectuel Singleton, Charles. Auteur ou responsable intellectuel Sigman, Carl. Auteur ou responsable intellectuel Sherman, Noël. Auteur ou responsable intellectuel Sherman, Joe. Auteur ou responsable intellectuel Russell, Bob. Auteur ou responsable intellectuel Rose, Billy. Auteur ou responsable intellectuel Redi, P. G.. Auteur ou responsable intellectuel Rauch. Auteur ou responsable intellectuel Rasch, Ray. Auteur ou responsable intellectuel Porter, Cole (1892-1964). Auteur ou responsable intellectuel Parsons, Geoffrey (19..-.... ; auteur de chansons). Auteur ou responsable intellectuel Parman, Cliff. Auteur ou responsable intellectuel Parker, Bobby (1937-....). Auteur ou responsable intellectuel Parish, Mitchell (1900-1993). Auteur ou responsable intellectuel Parish, Mitchell (1900-1993). Auteur ou responsable intellectuel Otis, Clyde (1924-2008). Auteur ou responsable intellectuel Mills, Irving (1894-1985). Auteur ou responsable intellectuel Mc Coy, Rose Marie. Auteur ou responsable intellectuel Lippman, Sidney (1914-2003). Auteur ou responsable intellectuel Lee, Lester. Auteur ou responsable intellectuel Lavere, Charles. Auteur ou responsable intellectuel Jones, Ollie. Auteur ou responsable intellectuel John, Dominic. Auteur ou responsable intellectuel Jenkins, Gordon (1910-1984). Auteur ou responsable intellectuel Hester, Hal. Auteur ou responsable intellectuel Hendricks, B.. Auteur ou responsable intellectuel Harburg, E. Y. (1896-1981). Auteur ou responsable intellectuel Handy, William Christopher (1873-1958). Auteur ou responsable intellectuel Gordon, Irving. Auteur ou responsable intellectuel George, Don. Auteur ou responsable intellectuel Gallop, Sammy (1915-1971). Auteur ou responsable intellectuel Galdieri, Michele (1902-1965). Auteur ou responsable intellectuel Galan, Pacho. Auteur ou responsable intellectuel Douglas, Larry. Auteur ou responsable intellectuel Dobbins, Shelly. Auteur ou responsable intellectuel De Lugg, Milton. Auteur ou responsable intellectuel Dee, Sylvia. Auteur ou responsable intellectuel Cornelius, H.. Auteur ou responsable intellectuel Conn, Chester. Auteur ou responsable intellectuel Cole, Nat King (1917-1965). Auteur ou responsable intellectuel Clifford, Gordon (1902-1968). Auteur du texte Chaplin, Charles (1889-1977). Auteur ou responsable intellectuel Carmichael, Hoagy (1899-1981). Auteur ou responsable intellectuel Burwell, Cliff. Auteur ou responsable intellectuel Brown, Nacio Herb (1896-1964). Auteur ou responsable intellectuel Best, William. Auteur ou responsable intellectuel Benton, Brook (1931-1988). Auteur ou responsable intellectuel Barnes, Howard. Auteur ou responsable intellectuel Cole, Nat King (1917-1965). Interprète http://data.europeana.eu/agent/base/154582 http://data.europeana.eu/agent/base/67808 http://data.europeana.eu/agent/base/49085 http://data.europeana.eu/agent/base/63028 http://data.europeana.eu/agent/base/147047 http://data.europeana.eu/agent/base/91054 http://data.europeana.eu/agent/base/61804 http://data.europeana.eu/agent/base/81601 http://data.europeana.eu/agent/base/155702 http://data.europeana.eu/agent/base/33904 http://data.europeana.eu/agent/base/150033 http://data.europeana.eu/agent/base/62475 http://data.europeana.eu/agent/base/60569 http://data.europeana.eu/agent/base/61519 http://data.europeana.eu/agent/base/61710 http://data.europeana.eu/agent/base/66557 http://data.europeana.eu/agent/base/63927",National Library of France,SOUND,france,/9200365/BibliographicResource_3000134088259,19..,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8802100h.thumbnail.jpg&size=LARGE&type=SOUND
"Unforgettable songs by Nat ""King"" Cole","Cole, Nat King (1917-1965). Chant http://data.europeana.eu/agent/base/61519",National Library of France,SOUND,france,/9200365/BibliographicResource_3000126238799,1954,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8822953z.thumbnail.jpg&size=LARGE&type=SOUND
MONA LISA / LIVINGSTON et EVANS. ALWAYS / BERLIN (Irving) ; THE BLUE DIAMONDS avec orch et choeurs J. BULTERMAN,,National Library of France,SOUND,france,/9200365/BibliographicResource_3000118476751,20..,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8828909d.thumbnail.jpg&size=LARGE&type=SOUND
"MONA LISA / LIVINGSTON et EVANS. HEAVENLY / TWITTY et NANCE. HEY LITTLE LUCY ! / SCHROEDER, WEISS et SILBERT. WHEN I'M NOT WITH YOU / TWITTY et NANCY ; TWITTY (Conway) (chant) ; avec accompagnement instrumental","Weiss, George (1921-2010). Auteur ou responsable intellectuel Twitty, Conway (1933-1993). Auteur ou responsable intellectuel Silbert. Auteur ou responsable intellectuel Schroeder, Aaron. Auteur ou responsable intellectuel Nance, J.. Auteur ou responsable intellectuel Twitty, Conway (1933-1993). Chant http://data.europeana.eu/agent/base/64281",National Library of France,SOUND,france,/9200365/BibliographicResource_3000118466538,1959,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k88243879.thumbnail.jpg&size=LARGE&type=SOUND
Bal musette / Will Glahe and his orchestra,"Glahé, Will (1902-1989). Direction d'orchestre http://data.europeana.eu/agent/base/54457",National Library of France,SOUND,france,/9200365/BibliographicResource_3000118464657,1952,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8815744z.thumbnail.jpg&size=LARGE&type=SOUND
CANDLELIGHT SERENADE / ZACHARIAS and his Magic Violins,"Zentirmay. Auteur ou responsable intellectuel Gilles (1895-1982). Auteur ou responsable intellectuel Osborne, Tony. Auteur ou responsable intellectuel Oldorp, F.. Auteur ou responsable intellectuel Mery, Maurice. Auteur ou responsable intellectuel Kovac. Auteur ou responsable intellectuel Jobim, António Carlos (1927-1994). Auteur ou responsable intellectuel Dobschinski. Auteur ou responsable intellectuel Bonfá, Luiz (1922-2001). Auteur ou responsable intellectuel Zacharias, Helmut (1920-2002). Direction d'orchestre http://data.europeana.eu/agent/base/50280 http://data.europeana.eu/agent/base/64359",National Library of France,SOUND,france,/9200365/BibliographicResource_3000095906535,1960,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8802961z.thumbnail.jpg&size=LARGE&type=SOUND
GOLDEN AWARD SONGS / Erwin HALLETZ et son Orchestre,"Williams, Clarence (1898-1965). Auteur ou responsable intellectuel Van Heusen, Jimmy. Auteur ou responsable intellectuel Styne, Jule (1905-1994). Auteur ou responsable intellectuel Loesser, Frank (1910-1969). Auteur ou responsable intellectuel Kresa, Helmy. Auteur ou responsable intellectuel Hoffman. Auteur ou responsable intellectuel Glenn, Artie. Auteur ou responsable intellectuel Fisher, Fred (1875-1942). Auteur ou responsable intellectuel Fain, Sammy (1902-1989). Auteur ou responsable intellectuel Brown, Lew (1893-1958). Auteur ou responsable intellectuel Berlin, Irving (1888-1989). Auteur ou responsable intellectuel Halletz, Erwin (1923-....). Direction d'orchestre http://data.europeana.eu/agent/base/8 http://data.europeana.eu/agent/base/60109 http://data.europeana.eu/agent/base/61503 http://data.europeana.eu/agent/base/147872 http://data.europeana.eu/agent/base/66146 http://data.europeana.eu/agent/base/62544 http://data.europeana.eu/agent/base/60459",National Library of France,SOUND,france,/9200365/BibliographicResource_3000095906504,1959,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8802688k.thumbnail.jpg&size=LARGE&type=SOUND
BILL BLACK'S COMBO SOLID AND RAUNCHY / Bill BLACK'S COMBO,"Williams, Curley. Auteur ou responsable intellectuel Weill, Kurt (1900-1950). Auteur ou responsable intellectuel Stock, Larry (1896-1984). Auteur ou responsable intellectuel Shepherd, S.. Auteur ou responsable intellectuel Scott, Clifford. Auteur ou responsable intellectuel Rose, Vincent. Auteur ou responsable intellectuel Rio, Chuck (1929-2006). Auteur ou responsable intellectuel Presley, Elvis (1935-1977). Auteur ou responsable intellectuel Manker, J.. Auteur ou responsable intellectuel Mac Daniels, Ellis. Auteur ou responsable intellectuel Louiguy (1916-1991). Auteur ou responsable intellectuel Lewis, Al.. Auteur ou responsable intellectuel Justis, William. Auteur ou responsable intellectuel Hunter, Ivory Joe. Auteur ou responsable intellectuel Endsley, Melvin. Auteur ou responsable intellectuel Doggett, Bill (1916-1996). Auteur ou responsable intellectuel David, Mack (1912-1993). Auteur ou responsable intellectuel Brecht, Bertolt (1898-1956). Auteur du texte Blitzstein, Marc (1905-1964). Auteur du texte Blackwell, Otis (1931-2002). Auteur du texte THE BILL BLACK'S COMBO. Interprète THE BILL BLACK'S COMBO. Interprète http://data.europeana.eu/agent/base/147028 http://data.europeana.eu/agent/base/26418 http://data.europeana.eu/agent/base/146807 http://data.europeana.eu/agent/base/82018 http://data.europeana.eu/agent/base/62745 http://data.europeana.eu/agent/base/118317 http://data.europeana.eu/agent/base/148468 http://data.europeana.eu/agent/base/64784",National Library of France,SOUND,france,/9200365/BibliographicResource_3000095904854,1960,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8813869h.thumbnail.jpg&size=LARGE&type=SOUND
"GUITAR DE AMOR / Bob Bain, à la guitare","Terry, Ann. Auteur ou responsable intellectuel Schertzinger, Victor (1890-1941). Auteur ou responsable intellectuel Roubanis, Nicholas. Auteur ou responsable intellectuel Prado, Miguel. Auteur ou responsable intellectuel Ponce, Manuel María (1882-1948). Auteur ou responsable intellectuel Parker, S.. Auteur ou responsable intellectuel O'Flynn, Ch.. Auteur ou responsable intellectuel Madriguera, Enric (1904-1973). Auteur ou responsable intellectuel Luna, Gabriel. Auteur ou responsable intellectuel Lombardo, Carmen (1903-1971). Auteur ou responsable intellectuel Lecuona, Marguerite. Auteur ou responsable intellectuel Lecuona, Ernesto (1896-1963). Auteur ou responsable intellectuel Hayman, Richard (1920-2014). Auteur ou responsable intellectuel Farrés, Osvaldo (1902-1985). Auteur ou responsable intellectuel Davis, Joe. Auteur ou responsable intellectuel Daniels, Lee. Auteur ou responsable intellectuel Barroso, Ari (1903-1964). Auteur ou responsable intellectuel Bain, Bob (1924-....). Auteur ou responsable intellectuel Bain, Bob (1924-....). Guitare http://data.europeana.eu/agent/base/165025 http://data.europeana.eu/agent/base/150874 http://data.europeana.eu/agent/base/153484",National Library of France,SOUND,france,/9200365/BibliographicResource_3000095900997,20..,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k88146160.thumbnail.jpg&size=LARGE&type=SOUND
"SEULS CE SOIR / FERRANTE et TEICHER, pianos, orchestre et choeurs",Ferrante and Teicher. Groupe instrumental,National Library of France,SOUND,france,/9200365/BibliographicResource_3000095898220,20..,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k88099258.thumbnail.jpg&size=LARGE&type=SOUND
AIRS DE FILMS / Jack SHAINDLIN et son orchestre,"Shaindlin, Jack. Direction d'orchestre",National Library of France,SOUND,france,/9200365/BibliographicResource_3000095896079,1957,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8805370s.thumbnail.jpg&size=LARGE&type=SOUND
T-Shirt,Hanes,Peloponnesian Folklore Foundation,IMAGE,greece,/2048210/2007_6_0362,1960s,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Frepos.europeanafashion.eu%2Fpff%2Fimages%2F2007.6.0362.JPG&size=LARGE&type=IMAGE
BARNTECKNING,Erikslundsskolan,Vänersborgs museum,IMAGE,sweden,/916106/vbg_object_VM08074_22,1945,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmm.dimu.org%2Fimage%2F032uL2kSj68f%3Fdimension%3D600x600&size=LARGE&type=IMAGE
Decor zonder naam,Petrus Regout/Sphinx,National Library of the Netherlands - Koninklijke Bibliotheek,IMAGE,netherlands,/92034/GVNRC_SHCL01_13748,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.kb.nl%2Fresolve%3Furn%3Durn%3Agvn%3ASHCL01%3A13748%26role%3Dthumbnail&size=LARGE&type=IMAGE
"Heren met snorren en bolhoeden hebben zich geschaard om de 'Mona Lisa', een van de beroemdste werken van Leonardo da Vinci (1452-1519). Het schilderij is, na lange afwezigheid, terug in het Louvre. Parijs, 1914.",Fotograaf onbekend,National Library of the Netherlands - Koninklijke Bibliotheek,IMAGE,netherlands,/92034/GVNRC_SFA03_SFA022800005,1914,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.kb.nl%2Fresolve%3Furn%3Durn%3Agvn%3ASFA03%3ASFA022800005%26role%3Dthumbnail&size=LARGE&type=IMAGE
"Leonardo da Vinci 's (1452-1519) meesterwerk uit ca. 1405: De Mona Lisa, of La Gioconda. Parijs,1911.",,National Library of the Netherlands - Koninklijke Bibliotheek,IMAGE,netherlands,/92034/GVNRC_SFA03_SFA022800004,1911,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.kb.nl%2Fresolve%3Furn%3Durn%3Agvn%3ASFA03%3ASFA022800004%26role%3Dthumbnail&size=LARGE&type=IMAGE
"Op de glimlach-school in Boedapest wijst een leraar in witte jas met een stok naar de mond van de Mona Lisa op een tekening daarvan. Hongarije, 1937.",Fotograaf onbekend,National Library of the Netherlands - Koninklijke Bibliotheek,IMAGE,netherlands,/92034/GVNRC_SFA03_SFA022007043,1937,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.kb.nl%2Fresolve%3Furn%3Durn%3Agvn%3ASFA03%3ASFA022007043%26role%3Dthumbnail&size=LARGE&type=IMAGE
Mona Lisa Smile,"Columbia Tristar,,",National Library of the Netherlands - Koninklijke Bibliotheek,IMAGE,netherlands,/92034/GVNRC_RA01_479516710add1,21..,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.kb.nl%2Fresolve%3Furn%3Durn%3Agvn%3ARA01%3A479516710add1%26role%3Dthumbnail&size=LARGE&type=IMAGE
Nimbostratus/Ti. Faust und das ewige Lächeln der Mona Lisa,"Moulen, Lyan",National Library of the Netherlands - Koninklijke Bibliotheek,IMAGE,netherlands,/92034/GVNRC_NAGO02_TIN_R1985_040,1985,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fresolver.kb.nl%2Fresolve%3Furn%3Durn%3Agvn%3ANAGO02%3ATIN-R1985-040%26role%3Dthumbnail&size=LARGE&type=IMAGE
"Museum Louvre, Mona Lisa im Visir eines Amateur-Digitalfotografen aus Japan","Gerig, Uwe (Fotograf)",Deutsche Fotothek,IMAGE,germany,/2048415/item_W37GID2ON4G4LTWNM2DO4MBF5BLTMCIO,21..,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fge%2F0005000%2Fdf_ge_0005561.jpg&size=LARGE&type=IMAGE
"Museum Louvre, Besucher vor dem Bild der Mona Lisa","Gerig, Uwe (Fotograf)",Deutsche Fotothek,IMAGE,germany,/2048415/item_TSJ5VQ4ME26ZPW6M7IJOXDMKTNHSRWWT,21..,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fge%2F0005000%2Fdf_ge_0005557.jpg&size=LARGE&type=IMAGE
"Museum Louvre, Besucher fotografieren vor dem Bild der Mona Lisa","Gerig, Uwe (Fotograf)",Deutsche Fotothek,IMAGE,germany,/2048415/item_REJCDQZ3MPKPNITBT2G6FGBNQSB3ZLDX,21..,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fge%2F0005000%2Fdf_ge_0005554.jpg&size=LARGE&type=IMAGE
Fotoreproductie van tekening Mona Lisa door Leonardo da Vinci,,Rijksmuseum,IMAGE,netherlands,/90402/RP_F_00_351,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=https%3A%2F%2Flh6.ggpht.com%2FxkRgwWXO_OXkVj5mNfpx7Fc_KHOva-l7o_ULAHaGUjkqupnE_rb4Ogkt7LCbxKKABheEccEioNPxYVkaNeoRJF9xyQ%3Ds0&size=LARGE&type=IMAGE
Mona Lisa z Pohronia Mona Lisa from around River Hron ,"Dohnány, Miloš",Slovak National Gallery,IMAGE,slovakia,/07101/UP_DK_2714,-1,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.webumenia.sk%2Fdielo%2FSVK%3ASNG.UP-DK_2714%2Fstiahnut&size=LARGE&type=IMAGE
