items_edmTimespanLabelLangAware_def,items_dcCreator,items_type,items_edmPreview,items_country,items_id,items_title,items_dataProvider
2005,"Gerig, Uwe (Fotograf)",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fge%2F0005000%2Fdf_ge_0005554.jpg&size=LARGE&type=IMAGE,germany,/2048415/item_REJCDQZ3MPKPNITBT2G6FGBNQSB3ZLDX,"Museum Louvre, Besucher fotografieren vor dem Bild der Mona Lisa",Deutsche Fotothek
1958,"Wayne, Mabel (1904-1978). Auteur ou responsable intellectuel Trianda, Théo. Auteur ou responsable intellectuel Silver, Abner (1899-1966). Auteur ou responsable intellectuel Shapiro, Ted (1899-1980). Auteur ou responsable intellectuel Sentis, José (1888-1983). Auteur ou responsable intellectuel Paquinet, A.. Auteur ou responsable intellectuel Navarro, B.. Auteur ou responsable intellectuel Morino, Jacques. Auteur ou responsable intellectuel Melfi, Mario (1905-1970). Auteur ou responsable intellectuel Marbot, Rolf (1906-1974). Auteur ou responsable intellectuel Lorca, G.. Auteur ou responsable intellectuel Joa, Paco. Auteur ou responsable intellectuel Gilkyson, Terry (1916-1999). Auteur ou responsable intellectuel Garvarentz, Georges (1932-1993). Auteur ou responsable intellectuel Ferrari, Louis (1910-1988). Auteur ou responsable intellectuel Don Diego. Auteur ou responsable intellectuel Denoncin, René (1920-2002). Auteur ou responsable intellectuel Castell, Rudy. Auteur ou responsable intellectuel Campbell, Jimmy. Auteur ou responsable intellectuel Brown, R.. Auteur ou responsable intellectuel Vasseur, Benny (1926-2015). Direction d'orchestre Paquinet, André (1926-2014). Trombone. Direction d'orchestre Melfi, Mario (1905-1970). Direction d'orchestre Machaco, Luis (19..-.... ; musicien actif en 1961). Direction d'orchestre Gregor, Sim. Direction d'orchestre Foy, Roger de (1911-1995). Direction d'orchestre Fornes, Arturo. Interprète Castell, Rudy. Direction d'orchestre http://data.europeana.eu/agent/base/44390 http://data.europeana.eu/agent/base/97189 http://data.europeana.eu/agent/base/70288 http://data.europeana.eu/agent/base/58218 http://data.europeana.eu/agent/base/74954 http://data.europeana.eu/agent/base/98909 http://data.europeana.eu/agent/base/46442",SOUND,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k88444468.thumbnail.jpg&size=LARGE&type=SOUND,france,/9200516/ark__12148_bpt6k88444468,DANSEZ AVEC LE FAUNE,Bibliothèque nationale de France
1961,,SOUND,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8828909d.thumbnail.jpg&size=LARGE&type=SOUND,france,/9200516/ark__12148_bpt6k8828909d,MONA LISA / LIVINGSTON et EVANS. ALWAYS / BERLIN (Irving) ; THE BLUE DIAMONDS avec orch et choeurs J. BULTERMAN,Bibliothèque nationale de France
1960,,SOUND,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8827259k.thumbnail.jpg&size=LARGE&type=SOUND,france,/9200516/ark__12148_bpt6k8827259k,RAMONA / WAYNE (Mabel) et GILBERT (W). ALWAYS / BERLIN (Irving). ALL OF ME (C'est un rêve) / SIMON et MARKS. MONA LISA / LIVINGSTON et EVANS ; THE BLUE DIAMONDS orch Jack BULTERMAN,Bibliothèque nationale de France
1959,"Weiss, George (1921-2010). Auteur ou responsable intellectuel Twitty, Conway (1933-1993). Auteur ou responsable intellectuel Silbert. Auteur ou responsable intellectuel Schroeder, Aaron. Auteur ou responsable intellectuel Nance, J.. Auteur ou responsable intellectuel Twitty, Conway (1933-1993). Chant http://data.europeana.eu/agent/base/64281",SOUND,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k88243879.thumbnail.jpg&size=LARGE&type=SOUND,france,/9200516/ark__12148_bpt6k88243879,"MONA LISA / LIVINGSTON et EVANS. HEAVENLY / TWITTY et NANCE. HEY LITTLE LUCY ! / SCHROEDER, WEISS et SILBERT. WHEN I'M NOT WITH YOU / TWITTY et NANCY ; TWITTY (Conway) (chant) ; avec accompagnement instrumental",Bibliothèque nationale de France
1954,"Cole, Nat King (1917-1965). Chant http://data.europeana.eu/agent/base/61519",SOUND,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8822953z.thumbnail.jpg&size=LARGE&type=SOUND,france,/9200516/ark__12148_bpt6k8822953z,"Unforgettable songs by Nat ""King"" Cole",Bibliothèque nationale de France
1960,,SOUND,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8821642t.thumbnail.jpg&size=LARGE&type=SOUND,france,/9200516/ark__12148_bpt6k8821642t,"MONA LISA / LIVINGSTON et EVANS. ONLY SIXTEEN / CAMPBELL. LEROY / SCOTT. SECRETLY / HOFFMAN, MANNING et MARKWELL ; THE FOUR COMETS",Bibliothèque nationale de France
1960,,SOUND,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k88212945.thumbnail.jpg&size=LARGE&type=SOUND,france,/9200516/ark__12148_bpt6k88212945,LES TROIS CLOCHES (slow rock) / VILLARD. ARGENTINA SERENADE (bounce bolero) / MERY & STANI. MONA LISA (slow rock) / LIVINGSTONE & EVANS. NAMENLOS (du film Das Totenschiff) (valse) / KOVAC ; ZACHARIAS et ses violons enchantés,Bibliothèque nationale de France
1952,"Glahé, Will (1902-1989). Direction d'orchestre http://data.europeana.eu/agent/base/54457",SOUND,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8815744z.thumbnail.jpg&size=LARGE&type=SOUND,france,/9200516/ark__12148_bpt6k8815744z,Bal musette / Will Glahe and his orchestra,Bibliothèque nationale de France
1961,"Terry, Ann. Auteur ou responsable intellectuel Schertzinger, Victor (1890-1941). Auteur ou responsable intellectuel Roubanis, Nicholas. Auteur ou responsable intellectuel Prado, Miguel. Auteur ou responsable intellectuel Ponce, Manuel María (1882-1948). Auteur ou responsable intellectuel Parker, S.. Auteur ou responsable intellectuel O'Flynn, Ch.. Auteur ou responsable intellectuel Madriguera, Enric (1904-1973). Auteur ou responsable intellectuel Luna, Gabriel. Auteur ou responsable intellectuel Lombardo, Carmen (1903-1971). Auteur ou responsable intellectuel Lecuona, Marguerite. Auteur ou responsable intellectuel Lecuona, Ernesto (1896-1963). Auteur ou responsable intellectuel Hayman, Richard (1920-2014). Auteur ou responsable intellectuel Farrés, Osvaldo (1902-1985). Auteur ou responsable intellectuel Davis, Joe. Auteur ou responsable intellectuel Daniels, Lee. Auteur ou responsable intellectuel Barroso, Ari (1903-1964). Auteur ou responsable intellectuel Bain, Bob (1924-....). Auteur ou responsable intellectuel Bain, Bob (1924-....). Guitare http://data.europeana.eu/agent/base/165025 http://data.europeana.eu/agent/base/150874 http://data.europeana.eu/agent/base/153484",SOUND,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k88146160.thumbnail.jpg&size=LARGE&type=SOUND,france,/9200516/ark__12148_bpt6k88146160,"GUITAR DE AMOR / Bob Bain, à la guitare",Bibliothèque nationale de France
1960,"Williams, Curley. Auteur ou responsable intellectuel Weill, Kurt (1900-1950). Auteur ou responsable intellectuel Stock, Larry (1896-1984). Auteur ou responsable intellectuel Shepherd, S.. Auteur ou responsable intellectuel Scott, Clifford (1928-1993). Auteur ou responsable intellectuel Rose, Vincent. Auteur ou responsable intellectuel Rio, Chuck (1929-2006). Auteur ou responsable intellectuel Presley, Elvis (1935-1977). Auteur ou responsable intellectuel Manker, J.. Auteur ou responsable intellectuel Mac Daniels, Ellis. Auteur ou responsable intellectuel Louiguy (1916-1991). Auteur ou responsable intellectuel Lewis, Al.. Auteur ou responsable intellectuel Justis, William. Auteur ou responsable intellectuel Hunter, Ivory Joe (1914-1974). Auteur ou responsable intellectuel Endsley, Melvin (1934-2004). Auteur ou responsable intellectuel Doggett, Bill (1916-1996). Auteur ou responsable intellectuel David, Mack (1912-1993). Auteur ou responsable intellectuel Brecht, Bertolt (1898-1956). Auteur du texte Blitzstein, Marc (1905-1964). Auteur du texte Blackwell, Otis (1931-2002). Auteur du texte The Bill Black's combo. Interprète http://data.europeana.eu/agent/base/147028 http://data.europeana.eu/agent/base/26418 http://data.europeana.eu/agent/base/146807 http://data.europeana.eu/agent/base/82018 http://data.europeana.eu/agent/base/77487 http://data.europeana.eu/agent/base/62745 http://data.europeana.eu/agent/base/118317 http://data.europeana.eu/agent/base/148468 http://data.europeana.eu/agent/base/64784",SOUND,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8813869h.thumbnail.jpg&size=LARGE&type=SOUND,france,/9200516/ark__12148_bpt6k8813869h,BILL BLACK'S COMBO SOLID AND RAUNCHY / Bill BLACK'S COMBO,Bibliothèque nationale de France
1963,Ferrante and Teicher. Groupe instrumental,SOUND,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k88099258.thumbnail.jpg&size=LARGE&type=SOUND,france,/9200516/ark__12148_bpt6k88099258,"SEULS CE SOIR / FERRANTE et TEICHER, pianos, orchestre et choeurs",Bibliothèque nationale de France
1957,"Shaindlin, Jack. Direction d'orchestre",SOUND,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8805370s.thumbnail.jpg&size=LARGE&type=SOUND,france,/9200516/ark__12148_bpt6k8805370s,AIRS DE FILMS / Jack SHAINDLIN et son orchestre,Bibliothèque nationale de France
1962,,SOUND,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k88039596.thumbnail.jpg&size=LARGE&type=SOUND,france,/9200516/ark__12148_bpt6k88039596,"SEULS CE SOIR / FERRANTE et TEICHER, pianos, orchestre et choeurs",Bibliothèque nationale de France
1960,"Zentirmay. Auteur ou responsable intellectuel Gilles (1895-1982). Auteur ou responsable intellectuel Osborne, Tony. Auteur ou responsable intellectuel Oldörp, Fred. Auteur ou responsable intellectuel Mery, Maurice. Auteur ou responsable intellectuel Kovac. Auteur ou responsable intellectuel Jobim, António Carlos (1927-1994). Auteur ou responsable intellectuel Dobschinski. Auteur ou responsable intellectuel Bonfá, Luiz (1922-2001). Auteur ou responsable intellectuel Zacharias, Helmut (1920-2002). Direction d'orchestre http://data.europeana.eu/agent/base/50280 http://data.europeana.eu/agent/base/64359",SOUND,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8802961z.thumbnail.jpg&size=LARGE&type=SOUND,france,/9200516/ark__12148_bpt6k8802961z,CANDLELIGHT SERENADE / ZACHARIAS and his Magic Violins,Bibliothèque nationale de France
1959,"Williams, Clarence (1898-1965). Auteur ou responsable intellectuel Van Heusen, Jimmy (1913-1990). Auteur ou responsable intellectuel Styne, Jule (1905-1994). Auteur ou responsable intellectuel Loesser, Frank (1910-1969). Auteur ou responsable intellectuel Kresa, Helmy. Auteur ou responsable intellectuel Hoffman. Auteur ou responsable intellectuel Glenn, Artie. Auteur ou responsable intellectuel Fisher, Fred (1875-1942). Auteur ou responsable intellectuel Fain, Sammy (1902-1989). Auteur ou responsable intellectuel Brown, Lew (1893-1958). Auteur ou responsable intellectuel Berlin, Irving (1888-1989). Auteur ou responsable intellectuel Halletz, Erwin (1923-....). Direction d'orchestre http://data.europeana.eu/agent/base/8 http://data.europeana.eu/agent/base/64921 http://data.europeana.eu/agent/base/60109 http://data.europeana.eu/agent/base/61503 http://data.europeana.eu/agent/base/147872 http://data.europeana.eu/agent/base/66146 http://data.europeana.eu/agent/base/62544 http://data.europeana.eu/agent/base/60459",SOUND,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8802688k.thumbnail.jpg&size=LARGE&type=SOUND,france,/9200516/ark__12148_bpt6k8802688k,GOLDEN AWARD SONGS / Erwin HALLETZ et son Orchestre,Bibliothèque nationale de France
19,"Winkler, Gerhard. Auteur ou responsable intellectuel Wells, Robert. Auteur ou responsable intellectuel Wayne, Dorothy. Auteur ou responsable intellectuel Watson, Deek. Auteur ou responsable intellectuel Turner, John (19..-.... ; auteur de chansons). Auteur ou responsable intellectuel Turk, Roy (1892-1934). Auteur ou responsable intellectuel Troup, Bobby (1918-1999). Auteur ou responsable intellectuel Tormé, Mel (1925-1999). Auteur ou responsable intellectuel Strayhorn, Billy (1915-1967). Auteur ou responsable intellectuel Stein, Willie. Auteur ou responsable intellectuel Sosenko, Anna. Auteur ou responsable intellectuel Singleton, Charles. Auteur ou responsable intellectuel Sigman, Carl. Auteur ou responsable intellectuel Sherman, Noël. Auteur ou responsable intellectuel Sherman, Joe. Auteur ou responsable intellectuel Russell, Bob. Auteur ou responsable intellectuel Rose, Billy (1899-1966). Auteur ou responsable intellectuel Redi, P. G.. Auteur ou responsable intellectuel Rauch. Auteur ou responsable intellectuel Rasch, Ray. Auteur ou responsable intellectuel Porter, Cole (1892-1964). Auteur ou responsable intellectuel Parsons, Geoffrey (1910-1987). Auteur ou responsable intellectuel Parman, Cliff. Auteur ou responsable intellectuel Parker, Bobby (1937-....). Auteur ou responsable intellectuel Parish, Mitchell (1900-1993). Auteur ou responsable intellectuel Parish, Mitchell (1900-1993). Auteur ou responsable intellectuel Otis, Clyde (1924-2008). Auteur ou responsable intellectuel Mills, Irving (1894-1985). Auteur ou responsable intellectuel McCoy, Rose Marie (1922-2015). Auteur ou responsable intellectuel Lippman, Sidney (1914-2003). Auteur ou responsable intellectuel Lee, Lester (1905-1956). Auteur ou responsable intellectuel Lavere, Charles. Auteur ou responsable intellectuel Jones, Ollie. Auteur ou responsable intellectuel John, Dominic. Auteur ou responsable intellectuel Jenkins, Gordon (1910-1984). Auteur ou responsable intellectuel Hester, Hal. Auteur ou responsable intellectuel Hendricks, B.. Auteur ou responsable intellectuel Harburg, E. Y. (1896-1981). Auteur ou responsable intellectuel Handy, William Christopher (1873-1958). Auteur ou responsable intellectuel Gordon, Irving. Auteur ou responsable intellectuel George, Don. Auteur ou responsable intellectuel Gallop, Sammy (1915-1971). Auteur ou responsable intellectuel Galdieri, Michele (1902-1965). Auteur ou responsable intellectuel Galan, Pacho. Auteur ou responsable intellectuel Douglas, Larry. Auteur ou responsable intellectuel Dobbins, Shelly. Auteur ou responsable intellectuel De Lugg, Milton. Auteur ou responsable intellectuel Dee, Sylvia. Auteur ou responsable intellectuel Cornelius, H.. Auteur ou responsable intellectuel Conn, Chester. Auteur ou responsable intellectuel Cole, Nat King (1917-1965). Auteur ou responsable intellectuel Clifford, Gordon (1902-1968). Auteur du texte Chaplin, Charles (1889-1977). Auteur ou responsable intellectuel Carmichael, Hoagy (1899-1981). Auteur ou responsable intellectuel Burwell, Cliff (1898-1976). Auteur ou responsable intellectuel Brown, Nacio Herb (1896-1964). Auteur ou responsable intellectuel Best, William. Auteur ou responsable intellectuel Benton, Brook (1931-1988). Auteur ou responsable intellectuel Barnes, Howard. Auteur ou responsable intellectuel Cole, Nat King (1917-1965). Interprète http://data.europeana.eu/agent/base/154582 http://data.europeana.eu/agent/base/159956 http://data.europeana.eu/agent/base/67808 http://data.europeana.eu/agent/base/49085 http://data.europeana.eu/agent/base/63028 http://data.europeana.eu/agent/base/148541 http://data.europeana.eu/agent/base/147047 http://data.europeana.eu/agent/base/91054 http://data.europeana.eu/agent/base/61804 http://data.europeana.eu/agent/base/81601 http://data.europeana.eu/agent/base/155702 http://data.europeana.eu/agent/base/22483 http://data.europeana.eu/agent/base/33904 http://data.europeana.eu/agent/base/150033 http://data.europeana.eu/agent/base/62475 http://data.europeana.eu/agent/base/60569 http://data.europeana.eu/agent/base/61519 http://data.europeana.eu/agent/base/61710 http://data.europeana.eu/agent/base/13626 http://data.europeana.eu/agent/base/66557 http://data.europeana.eu/agent/base/63927",SOUND,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fgallica.bnf.fr%2Fark%3A%2F12148%2Fbpt6k8802100h.thumbnail.jpg&size=LARGE&type=SOUND,france,/9200516/ark__12148_bpt6k8802100h,"THE Nat King Cole Story / Nat King Cole, chant et Orchestre",Bibliothèque nationale de France
1953,"Philippe Halsman, 1906, Riga, Latvia - 1979, New York",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmuseum.imj.org.il%2Fimages%2Fcorridor%2FBezalel%2Fmodern%2FArturo%2FHalsman%7EB99_1669_1.jpg&size=LARGE&type=IMAGE,israel,/08502/Athena_Update_ProvidedCHO_The_Israel_Museum__Jerusalem_220221,Dalí Mona Lisa,"The Israel Museum, Jerusalem"
1965,"Marcel Duchamp, 1887, Blainville, France - 1968, Neuilly-sur-Seine, France",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.imj.org.il%2Fimages%2Fcorridor%2FBezalel%2Fmodern%2FArturo%2FB99_1615.jpg&size=LARGE&type=IMAGE,israel,/08502/Athena_Update_ProvidedCHO_The_Israel_Museum__Jerusalem_219738,L.H.O.O.Q Shaved,"The Israel Museum, Jerusalem"
1965,"Marcel Duchamp, 1887, Blainville, France - 1968, Neuilly-sur-Seine, France",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.imj.org.il%2Fimages%2Fcorridor%2FBezalel%2Fmodern%2FArturo%2FDuchamp%7EB99_1616.jpg&size=LARGE&type=IMAGE,israel,/08502/Athena_Update_ProvidedCHO_The_Israel_Museum__Jerusalem_219739,Picabia's Mona Lisa,"The Israel Museum, Jerusalem"
1867,"Hotelin, Laurent (19 w.), grafik-drzeworytnik",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.bibliotekacyfrowa.pl%2FContent%2F14622%2F0092_0001.djvu&size=LARGE&type=IMAGE,poland,/0940429/_nnnX7sX,"Joconde, ryc. LXXXIII",Biblioteka Cyfrowa Uniwersytetu Wrocławskiego
1981,"Balcerowicz, Jerzy",SOUND,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fpbc.gda.pl%2FContent%2F19793%2F05.mp3&size=LARGE&type=SOUND,poland,/0940417/_nnbhn5d,Leonardo i Mona Lisa [dokument dźwiękowy],Pomorska Biblioteka Cyfrowa
1870,nieznany,IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fcyfrowe.mnw.art.pl%2FContent%2F2459%2Fdi56783.jpg&size=LARGE&type=IMAGE,poland,/0940409/_nntr6sf,"""Lionardo da Vinci. Portrait de Mona Lisa (La Joconde)"" [""Portret Mony Lizy"", obraz Leonarda da Vinci (olej, 1503-1505) z kolekcji Muzeum Luwru]; 
fotografia z serii: ""La Galerie de tableaux du musée impérial du Louvre à Paris. Photographies d'après les tableaux originaux...""",Cyfrowe Muzeum Narodowe w Warszawie
1939,"Janisch, Jerzy (1901-1962)",IMAGE,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fcyfrowe.mnw.art.pl%2FContent%2F34809%2Frysw190.jpg&size=LARGE&type=IMAGE,poland,/0940409/_nn0Wq58,Mona Lisa w sleepingu,Cyfrowe Muzeum Narodowe w Warszawie
2007,"Piątkowski, Jerzy (1943- )",TEXT,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fmbc.malopolska.pl%2FContent%2F5789%2Fp0025.djvu&size=LARGE&type=TEXT,poland,/0940433/_nnhdRT1,Rendez-vous z Mona Lisą,Małopolska Biblioteka Cyfrowa
2017,"Liaci, Emanuela Institut für Grenzgebiete der Psychologie und Psychohygiene",TEXT,,germany,/2048441/item_CMR3LPDTGATOJV4LBQGS4VVCZ5TS4SL2,Mona Lisa is always happy - and only sometimes sad,Deutsche Nationalbibliothek
